finish_code,substrate_code,finish_applied_code,seq_id,finish_code_description,sft_steps,source_doc,program,associated_specs
SM01,S,M,01,"HVOF COATING, ALL SURFACES","[SFT0217, SFT0604]",LMA-PJ100,LMA,
SM02,S,M,02,"HVOF COATING, SOLID FILM LUBE, SPECIFIED SURFACES","[SFT0217, SFT0602, SFT0605, SFT0902]",LMA-PJ100,LMA,
SM03,S,M,03,PTFE LINER SPECIFIED SURFACES,"[SFT0001, SFT0217, SFT0711]",LMA-PJ100,LMA,
SP01,S,P,01,"PRIMER, ALL SURFACES","[SFT0217, SFT0401, SFT0901]",LMA-PJ100,LMA,
SP02,S,P,02,"PRIMER, SPECIFIED SURFACES","[SFT0217, SFT0402, SFT0901]",LMA-PJ100,LMA,
SP03,S,P,03,PRIMER FOR PEEL SHIM,[],LMA-PJ100,LMA,
MP03,M,P,03,CLEAN USING LMA-MN040 GENERAL PURPOSE SOLVENT IAW LMA-PJ100,"[SFT0401, SFT0901]",LMA-PJ100,LMA,
SR01,S,R,01,"GLOSS ORANGE TOPCOAT, SPECIFIED SURFACES, PRIMER","[SFT0217, SFT0402, SFT0516, SFT0901]",LMA-PJ100,LMA,
SR02,S,R,02,"GLOSS RED TOPCOAT, ALL SURFACES, PRIMER","[SFT0217, SFT0401, SFT0520, SFT0901]",LMA-PJ100,LMA,
SR03,S,R,03,"GLOSS R ED TOPCOAT, SPECIFIED SURFACES, PRIMER","[SFT0217, SFT0402, SFT0519, SFT0901]",LMA-PJ100,LMA,
SW01,S,W,01,"WHITE TOPCOAT, SPECIFIED SURFACES, PRIMER","[SFT0217, SFT0402, SFT0901]",LMA-PJ100,LMA,
SW02,S,W,02,"WHITE TOPCOAT, ALL SURFACES, PRIMER","[SFT0217, SFT0501, SFT0901]",LMA-PJ100,LMA,
SW03,S,W,03,"WHITE TOPCOAT, SOLID FILM LUBE, SPECIFIED SURFACES, PRIMER","[SFT0217, SFT0402, SFT0503, SFT0602, SFT0903]",LMA-PJ100,LMA,
SW04,S,W,04,"WHITE TOPCOAT, SPECIFIED SURFACES, PRIMER, ALL SURFACES","[SFT0001, SFT0217, SFT0401, SFT0503]",LMA-PJ100,LMA,
TA01,T,A,01,"TITANIUM ANODIZE, ALL SURFACES","[SFT0104, SFT0219]",LMA-PJ100,LMA,
TA02,T,A,02,"TITANIUM ANODIZE, SPECIFIED SURFACES, WITH ELECTRICAL BONDING","[SFT0104, SFT0220, SFT0713]",LMA-PJ100,LMA,
TA03,T,A,03,"TITANIUM ANODIZE, SPECIFIED SURFACES","[SFT0104, SFT0220]",LMA-PJ100,LMA,
TA04,T,A,04,"TITANIUM ANODIZE, CONVERSION COATING, SPECIFIED SURFACES","[SFT0104, SFT0218, SFT0220]",LMA-PJ100,LMA,
TB01,T,B,01,"CONVERSION COATING, ALL SURFACES","[SFT0104, SFT0208]",LMA-PJ100,LMA,
TB02,T,B,02,"CONVERSION COATING, SPECIFIED SURFACES",[SFT0104],LMA-PJ100,LMA,
TB03,T,B,03,"CONVERSION COATING, ANODIZE, SPECIFIED SURFACES","[SFT0104, SFT0218, SFT0220]",LMA-PJ100,LMA,
TE01,T,E,01,"FLAT BLACK TOPCOAT, ALL SURFACES, PRIMER, CONVERSION COAT","[SFT0104, SFT0208, SFT0401, SFT0505, SFT0901]",LMA-PJ100,LMA,
TE02,T,E,02,"FLAT BLACK TOPCOAT, SPECIFIED SURFACES, PRIMER, CONVERSION COAT","[SFT0104, SFT0208, SFT0402, SFT0506, SFT0901]",LMA-PJ100,LMA,
TF01,T,F,01,"FUEL TANK COATING, ALL SURFACES, CONVERSION COAT","[SFT0104, SFT0208, SFT0405, SFT0901]",LMA-PJ100,LMA,
TF02,T,F,02,"FUEL TANK COATING, SPECIFIED SURFACES, CONVERSION COAT","[SFT0104, SFT0208, SFT0406, SFT0901]",LMA-PJ100,LMA,
TF03,T,F,03,"FUEL TANK COATING, GLOSS WHITE TOPCOAT, SPECIFIED SURFACES, PRIMER, CONVERSION COAT","[SFT0104, SFT0208, SFT0402, SFT0406, SFT0503, SFT0901]",LMA-PJ100,LMA,
TF04,T,F,04,"FUEL TANK COATING, PRIMER, SPECIFIED SURFACES, CONVERSION COAT","[SFT0104, SFT0208, SFT0402, SFT0406, SFT0901]",LMA-PJ100,LMA,
TF05,T,F,05,"TITANIUM SHIM ONLY, FUEL TANK COATING ALL SURFACES","[SFT0104, SFT0109, SFT0208, SFT0402, SFT0405, SFT0512, SFT0901]",LMA-PJ100,LMA,
TL01,T,L,01,"SOLID FILM LUBE, SPECIFIED SURFACES, CONVERSION COAT","[SFT0104, SFT0208, SFT0602, SFT0902]",LMA-PJ100,LMA,
TL02,T,L,02,"SOLID FILM LUBE, ALL SURFACES, CONVERSION COAT","[SFT0104, SFT0208, SFT0601, SFT0902]",LMA-PJ100,LMA,
TL03,T,L,03,"SOLID FILM LUBE, SPECIFIED SURFACES, PRIMER, CONVERSION COAT","[SFT0104, SFT0208, SFT0402, SFT0903]",LMA-PJ100,LMA,
TP01,T,P,01,"PRIMER, ALL SURFACES, CONVERSION COAT","[SFT0104, SFT0208, SFT0401, SFT0901]",LMA-PJ100,LMA,
TP02,T,P,02,"PRIMER, SPECIFIED SURFACES, CONVERSION COAT","[SFT0104, SFT0208, SFT0402, SFT0901]",LMA-PJ100,LMA,
TP03,T,P,03,"PRIMER, FUEL TANK COATING, SPECIFIED SURFACES, CONVERSION COAT","[SFT0104, SFT0208, SFT0402, SFT0406, SFT0901]",LMA-PJ100,LMA,
TP04,T,P,04,PRIMER SHIMS ONLY SFT01 09 CLEAN SURFACES BY SANDING WITH 240 GRIT AND SOLVENT CLEAN WITH LMA-MN040 IAW LMA-PJ100,"[SFT0401, SFT0901]",LMA-PJ100,LMA,
TR01,T,R,01,"ORANGE TOPCOAT, ALL SURFACES, PRIMER, C ONVERSION COAT","[SFT0104, SFT0208, SFT0401, SFT0515, SFT0901]",LMA-PJ100,LMA,
TR02,T,R,02,"ORANGE TOPCOAT, SPECIFIED SURFACES, PRIMER, CONVERSION COAT","[SFT0104, SFT0208, SFT0402, SFT0516, SFT0901]",LMA-PJ100,LMA,
TR03,T,R,03,"RED TOPCOAT, ALL SURFACES, PRIMER, CONVERSION COAT","[SFT0104, SFT0208, SFT0401, SFT0520, SFT0901]",LMA-PJ100,LMA,
TR04,T,R,04,"RED TOPCOAT, PRIMER, SPECIFIED SURFACES, CONVERSION COAT","[SFT0104, SFT0208, SFT0402, SFT0519, SFT0901]",LMA-PJ100,LMA,
TW01,T,W,01,"WHITE TOPCOAT, ALL SURFACES, PRIMER, CONVERSION COAT","[SFT0104, SFT0208, SFT0401, SFT0501, SFT0901]",LMA-PJ100,LMA,
TW02,T,W,02,"WHITE TOPCOAT, PRIMER, SPECIFIED SURFACES, CONVERSION COAT","[SFT0104, SFT0208, SFT0402, SFT0503, SFT0901]",LMA-PJ100,LMA,
TW03,T,W,03,"WHITE TOPCOAT, FUEL TANK COATING, PRIMER, SPECIFIED SURFACES, CONVERSION COAT","[SFT0104, SFT0208, SFT0402, SFT0406, SFT0503, SFT0901]",LMA-PJ100,LMA,
TW04,T,W,04,"WHITE TOPCOAT, SPECIFIED SURFACES, PRIMER ALL SURFACES","[SFT0001, SFT0104, SFT0208, SFT0401, SFT0503, SFT0901]",LMA-PJ100,LMA,
XL01,X,L,01,"SOLID FILM LUBE, SPECIFIED SURFACES","[SFT0112, SFT0603, SFT0902]",LMA-PJ100,LMA,
ZL01,Z,L,01,INSTALL FASTENERS WITH CORROSION PREVENTIVE COMPOUND,"[SFT0113, SFT0710]",LMA-PJ100,LMA,
ZS01,Z,S,01,DELETED. REFERENCE LMA-PB033 FOR WET INSTAL LATION OF BUSHINGS.,[],LMA-PJ100,LMA,
ZX01,Z,X,01,FINISH IAW DRAWING NOTES,[SFT0712],LMA-PJ100,LMA,
